Title,Link,Relevant,Year,Venue,Judge,Judge type,Mentioned validation,Metric,Metric type,notes,"Double check human validation (human, judge, annotat)"
uncertainty quantification for evaluating gender bias in machine translation',https://aclanthology.org/2026.findings-eacl.116/,N,2026,ACL findings,,,,,,,
"""reasoning about uncertainty : do reasoning models know when they do n't know ?""",https://aclanthology.org/2026.findings-eacl.178/,N,2026,EACL,Unidentifiable,Unidentifiable,,"ECE, MCE",ECE,,N
think just enough : leveraging self-assessed confidence for adaptive reasoning in language models',https://aclanthology.org/2026.findings-eacl.263/,N,2026,EACL,,,,,,,
how reliable are confidence estimators for large reasoning models ? a systematic benchmark on high-stakes domains',https://aclanthology.org/2026.eacl-long.78/,Y,2026,EACL,"String matching, LLM as judge (GPT-5-nano)","Exact/fuzzy matching, LLM judge",,"AUROC, AUCPR, ECE, Brier","AUROC, AUCPR, ECE, Brier",,N
mind the gap : benchmarking llm uncertainty and calibration with specialty-aware clinical qa and reasoning-based behavioural features',https://aclanthology.org/2026.eacl-long.106/,Y,2026,EACL,"String matching, LLM as judge (LLaMA-3.1-8B-Instruct), human validation","Exact/fuzzy matching, LLM judge, HumanVal",Y (human),"AUROC, ECE, Brier","AUROC, ECE, Brier",,Y
"""it 's all about the confidence : an unsupervised approach for multilingual historical entity linking using large language models""",https://arxiv.org/abs/2601.08500,N,2026,EACL,,,,,,,
taming object hallucinations with verified atomic confidence estimation',https://aclanthology.org/2026.eacl-long.252/,N,2026,EACL,,,,,,,
knowing when to abstain : medical llms under clinical uncertainty',https://arxiv.org/pdf/2601.12471,N,,,,,,,,,
evidential semantic entropy for llm uncertainty quantification',https://aclanthology.org/2026.eacl-long.334/,Y,2026,EACL,LLM as judge (gpt4o-mini),LLM judge,,"AUROC, AUARC","AUROC, AURAC",,N
investigating the multilingual calibration effects of language model instruction tuning',https://arxiv.org/abs/2601.01362,N,,,,,,,,,
semantic token clustering for efficient uncertainty quantification in large language models',https://aclanthology.org/2026.eacl-short.49/,Y,2026,EACL,LLM as judge (GPT-4.1),LLM judge,,AUROC,AUROC,,N
evaluating calibration of arabic pre-trained language models on dialectal text',https://aclanthology.org/2025.wacl-1.8/,N,2025,WACL,,,,,,,
robust vietnamese duration question answering through lora-based ensemble and adaptive threshold calibration',https://aclanthology.org/2025.vlsp-1.39.pdf,N,,,,,,,,,
phases of uncertainty : confidence -- calibration dynamics in language model training',https://aclanthology.org/2025.uncertainlp-main.2.pdf,N,2025,UncertaiNLP,,,,,,,
uncertainty in semantic language modeling with pixels',https://aclanthology.org/2025.uncertainlp-main.11/,N,2025,UncertaiNLP,,,,,,,
confidence calibration in large language model-based entity matching',https://aclanthology.org/2025.uncertainlp-main.12/,N,2025,UncertaiNLP,,,,,,,
on the role of unobserved sequences on sample-based uncertainty quantification for llms',https://aclanthology.org/2025.uncertainlp-main.15/,Y,2025,UncertaiNLP,LLM as judge ( Meta-Llama-3-8B-Instruct),LLM judge,,AUROC,AUROC,,N
confidence-based response abstinence : improving llm trustworthiness via activation-based uncertainty estimation',https://aclanthology.org/2025.uncertainlp-main.16/,Y,2025,UncertaiNLP,Human labels (no automated judge),Human,,AUROC,AUROC,,NA
ambiguity detection and uncertainty calibration for question answering with large language models',https://aclanthology.org/2025.trustnlp-main.4/,N ,2025,TrustNLP,,,,,,,
"""monte carlo temperature : a robust sampling strategy for llm 's uncertainty quantification methods""",https://aclanthology.org/2025.trustnlp-main.21/,Y,2025,TrustNLP,LLM as judge (Claude Haiku 3.5),LLM judge,,"AUROC, PR-AUC, AURAC","AUROC, AUCPR, AURAC",,N
